Id;DESCRIPCION;NUMERO_PROCESO;ESTADO;TIPO_PROCESO;UNIDAD_CONTRATACION;VALOR_ESTIMADO;FASE_ACTUAL;ENTIDAD_ESTATAL;FECHA_PUBLICACION;FECHA_OFERTAS;CODIGO_NOTICE;FECHA_PRESENTACION;TIPO_CONTRATO;JUSTIFICACION_CONTRATO;FECHA_TERMINACION;DESCRIPCION_CONTRATO;VALOR_ESTIMADO_ADQUISICIONES;CODIGO_UNSPSC;Licita
427;Renovación licenciamiento de software de Mesa de Ayuda SYSAID para INDEPORTES ANTIOQUIA en modalidad de software como servicio (SAAS).;MC 001 DE 2024;Proceso adjudicado y celebrado;Mínima cuantía;GERENCIA;33448333;Presentación de oferta;INSTITUTO DEPARTAMENTAL DE DEPORTES DE ANTIOQUIA;22/03/2024 1:04:30 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5886840;5/04/2024 9:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);Compraventa;Presupuesto inferior al 10% de la menor cuantía;12/07/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Renovación licenciamiento de software de Mesa de Ayuda SYSAID para INDEPORTES ANTIOQUIA en modalidad de software como servicio (SAAS).;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
428;SOLICITUD DE COTIZACION CALL CENTER;SIP 003 2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;Secretaria General Funcionamiento;0;Presentación de oferta;AGENCIA DE RENOVACION DEL TERRITORIO;20/03/2024 5:33:19 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5874177;26 días de tiempo transcurrido (12/04/2024 4:00:00 PM(UTC-05:00) Bogotá, Lima, Quito); ; ;27/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Contratar los servicios de un centro de contacto, con el propósito de brindar atención de primer nivel, y demás servicios funcionales requeridos por la Entidad, según las especificaciones técnicas contenidas en la Ficha Técnica.;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
429;PRESTACIÓN DE SERVICIOS;PN METIB SIP 006 2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;UNIDAD PRESTADORA DE SALUD TOLIMA;0;Presentación de oferta;POLICIA METROPOLITANA DE IBAGUE - UPRES TOLIMA;20/03/2024 9:12:40 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5869320;28 días de tiempo transcurrido (10/04/2024 8:00:00 AM(UTC-05:00) Bogotá, Lima, Quito); ; ; ;contratación del servicio de CALL CENTER para la asignación, cancelación y reasignación de citas médicas, odontológicas, así como transmitir información general para los usuarios del Subsistema De Salud De La Policía Nacional adscritos a la UPRES Tolima residentes en el departamento y en los municipios de Norcasia, Samaná, Victoria y La Dorada del departamento de Caldas;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
430;CONTRATAR EL SERVICIO PARA LA APLICACIÓN Y FORTALECIMIENTO DE LAS ESTRATÉGIAS DE GESTIÓN EN LA ATENCIÓN EN LÍNEA DE LOS CIUDADANOS QUE BUSCAN INFORMACIÓN PERSONALIZADA SOBRE LOS PROCESOS DE INCORPORAC;0065-ARC-CBNL06-2024;Proceso adjudicado y celebrado;Mínima cuantía;DINCO;117666667;Presentación de oferta;ARMADA NACIONAL BASE NAVAL No. 6 ARC BOGOTA;19/03/2024 6:51:56 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5867097;27 días de tiempo transcurrido (11/04/2024 3:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);Otro;Presupuesto inferior al 10% de la menor cuantía;6/11/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);CONTRATAR EL SERVICIO PARA LA APLICACIÓN Y FORTALECIMIENTO DE LAS ESTRATÉGIAS DE GESTIÓN EN LA ATENCIÓN EN LÍNEA DE LOS CIUDADANOS QUE BUSCAN INFORMACIÓN PERSONALIZADA SOBRE LOS PROCESOS DE INCORPORACIÓN;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
431;Alquiler de plataforma y mensajería de texto, WhatsApp y software para comunicación con padres de familia.;CNC-092024;Publicado;Contratación régimen especial;COLEGIO NUEVA COLOMBIA IED;1200000;Presentación de oferta;COLEGIO NUEVA COLOMBIA IED;12/03/2024 4:53:30 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5825472;-;Otro;Regla aplicable;30/11/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Alquiler de plataforma y mensajería de texto, WhatsApp y software que funciona como un sistema de información que permita comunicar de forma ágil a padres de familia para envío de mensajes de texto por ausencia de estudiantes, retardos, notificaciones por situaciones anormales y/o eventuales de la Institución y/o estudiantes;4800000;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
432;SOPORTE Y MANTENIMIENTO;INV-OF-0127-2024;Publicado;Contratación régimen especial;CONTRATACIÓN;454387501;Presentación de oferta;FINANCIERA DE DESARROLLO TERRITORIAL S.A.;8/03/2024 11:21:22 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5804428;-;Otro;Regla aplicable;20/04/2027 12:00:00 AM ((UTC-05:00) Bogotá, Lima, Quito);ADQUIRIR LA RENOVACIÓN DE GARANTÍA, SOPORTE Y MANTENIMIENTO DE LA PLATAFORMA DE CONECTIVIDAD LAN Y WIFI MARCA EXTREME PARA FINDETER CON SERVICIOS DE NOC;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
433;PRESTACIÓN DE UN SERVICIO INTEGRAL DE CONTACT CENTER PARA REALIZAR LA ASIGNACIÓN DE CITAS DE SERVICIOS INTEGRALES EN SALUD A LOS USUARIOS DEL SUBSISTEMA DE SALUD DE LA POLICÍA NACIONAL E INFORMACION G;PN-RASES8-SIP-046-2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;REGIONAL DE ASEGURAMIENTO EN SALUD No 8;0;Presentación de oferta;REGIONAL DE ASEGURAMIENTO EN SALUD N° 8;5/03/2024 6:09:30 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5785372;8/03/2024 7:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito); ; ;31/08/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACIÓN DE UN SERVICIO INTEGRAL DE CONTACT CENTER PARA REALIZAR LA ASIGNACIÓN DE CITAS DE SERVICIOS INTEGRALES EN SALUD A LOS USUARIOS DEL SUBSISTEMA DE SALUD DE LA POLICÍA NACIONAL E INFORMACION GENERAL DE LA DIRECCION DE SANIDAD REGIONAL DE ASEGURAMIENTO EN SALUD No 8.(;964871998;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
434;Prestación de servicios de MANTENIMIENTO Y SOPORTE TECNICO DEL SISTEMA PBX IP y CALL CENTER de LA ESE;24-2130.13.07.145;Proceso adjudicado y celebrado;Contratación régimen especial;UNIDAD DE COMPRAS - GESTIÓN CONTRACTUAL;8557600;Presentación de oferta;HOSPITAL DEPARTAMENTAL SAN JUAN DE DIOS DE RIOSUCIO - CALDAS E.S.E;29/02/2024 3:54:51 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5756701;-;Decreto 092 de 2017;Decreto 092 de 2017;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Prestación de servicios de MANTENIMIENTO Y SOPORTE TECNICO DEL SISTEMA PBX IP y CALL CENTER de LA ESE;21000000;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
435;IMPLEMENTACION DE UN CANAL DE ATENCION UTILIZANDO LA TECNOLOGIA ELECTRONICA, PARA ATENDER EL SERVICIO DE AGENDAMIENTO DE CITAS MEDICAS OFRECIDAS POR EL HOSPITAL NELSON RESTREPO MARTINEZ ESE DE ARMERO;Re.Hu-P-001-043 - 2023;Proceso adjudicado y celebrado;Contratación régimen especial;ÁREA ADMINISTRATIVA Y LOGÍSTICA;7200000;Presentación de oferta;HOSPITAL NELSON RESTREPO MARTINEZ E.S.E.;21/02/2024 3:32:45 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5705377;-;Prestación de servicios;Regla aplicable;13 días para terminar (21/05/2024 6:00:00 PM(UTC-05:00) Bogotá, Lima, Quito);IMPLEMENTACION DE UN CANAL DE ATENCION UTILIZANDO LA TECNOLOGIA ELECTRONICA, PARA ATENDER EL SERVICIO DE AGENDAMIENTO DE CITAS MEDICAS OFRECIDAS POR EL HOSPITAL NELSON RESTREPO MARTINEZ ESE DE ARMERO GUAYABAL TOLIMA E.S.E.;7200000;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
436;SOLICITUD DE INFORMACIÓN A PROVEEDORES CUYO OBJETO ES CONTRATAR LICENCIAMIENTO ARANDA Y SERVICIOS ADICIONALES Y CONEXOS;SIP-014-2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;CONTRATOS;0;Presentación de oferta;CAJA DE RETIRO DE LAS FUERZAS MILITARES;21/02/2024 12:11:36 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5703816;6/03/2024 5:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito); ; ;30/11/2024 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);SOLICITUD DE INFORMACIÓN A PROVEEDORES CUYO OBJETO ES Contratar la Suscripción Aranda Service Management Suite - Usuario Concurrente - 365 días de 10 licencias de Aranda Service Desk Full y de trecientas (300) licencias del software Aranda Asset Management (AAM), adquirir ciento cincuenta (150) licencias del software Aranda Asset Management (AAM), así como la Renovación de una (1) licencia nombrada, así como los servicios adicionales establecidos en las especificaciones técnicas, los servicios c;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
437;PRESTACION DE SERVICIOS DE LOGISTICA PARA CALL CENTER A FIN DE DAR CUMPLIMIENTO AL ITEM 4.4 DEL CONTRATO No. 132 DE 2022 SUSCRITO CON EL CONSEJO SUPERIOR DE LA JUDICATURA EL CUAL HA SIDO ADICIONADO Y;OS-TRO-002-2024;Proceso adjudicado y celebrado;Contratación régimen especial;JURIDICA CANAL TRO;9800000;Presentación de oferta;TELEVISION REGIONAL DEL ORIENTE LIMITADA. CANAL TRO;20/02/2024 6:40:36 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5699158;-;Prestación de servicios;Regla aplicable;19/03/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTACION DE SERVICIOS DE LOGISTICA PARA CALL CENTER A FIN DE DAR CUMPLIMIENTO AL ITEM 4.4 DEL CONTRATO No. 132 DE 2022 SUSCRITO CON EL CONSEJO SUPERIOR DE LA JUDICATURA EL CUAL HA SIDO ADICIONADO Y PRORRGADO;9800000;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
438;Adquirir el sistema de atención virtual con licencia vitalicia destinado a la atención de los grupos de interés, así como para la recolección de información y la construcción de bases de datos del cen;CD-006-2024;Proceso adjudicado y celebrado;Contratación directa.;SECRETARIA GENERAL - DANE CENTRAL;142000000;Presentación de oferta;DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE);15/02/2024 6:52:17 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5669321;-;Prestación de servicios;No existe pluralidad de oferentes en el mercado; ;Adquirir el sistema de atención virtual con licencia vitalicia destinado a la atención de los grupos de interés, así como para la recolección de información y la construcción de bases de datos del censo económico y demás operaciones estadísticas de la entidad.;142000000;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
439;ALQUILER DE SOFTWARE Y ELEMENTOS DE TELECOMUNICACION; ; ; ; ;0;Presentación de oferta;UNIDAD PRESTADORA DE SALUD SANTANDER;15/02/2024 11:56:51 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5664036;20/02/2024 5:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito); ; ; ; ;0;;
440;"IMPLEMENTACION DEL MODULO ACTIVOS FIJOS BIENES; ACTUALIZACION A NUEVAS VERSIONES Y SOPORTE TECNICO ASOCIADO DE LOS MODULOS DEL SISTEMA SAIMYR ACTUALMENTE INSTALADOS EN LA EMPRESA DURANTE LA VIGENCIA";C - 004 - 2024;Proceso adjudicado y celebrado;Contratación régimen especial;sumar;31928813;Presentación de oferta;SUMAR;15/02/2024 9:54:52 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5662419;-;Prestación de servicios;Regla aplicable; ;"IMPLEMENTACION DEL MODULO ACTIVOS FIJOS BIENES;  ACTUALIZACION A NUEVAS VERSIONES  Y SOPORTE TECNICO ASOCIADO DE LOS MODULOS DEL SISTEMA SAIMYR ACTUALMENTE INSTALADOS EN LA EMPRESA DURANTE LA VIGENCIA 2024";0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
441;Renovación del servicio de mantenimiento, soporte y suscripción en los módulos de continuidad, incidentes, peticiones, cambios, problemas, despliegues de la mesa de servicios ProactivaNet, análisis de;COT-03-FCM-2024;Proceso en evaluación y observaciones;Solicitud de información a los Proveedores;DIRECCION TICS;0;Presentación de oferta;FEDERACION COLOMBIANA DE MUNICIPIOS;13/02/2024 2:55:06 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5647821;20/02/2024 3:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito); ; ;20/02/2024 3:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);Renovación del servicio de mantenimiento, soporte y suscripción en los módulos de continuidad, incidentes, peticiones, cambios, problemas, despliegues de la mesa de servicios ProactivaNet, análisis del uso e implementación de mejoras de la herramienta en torno a las buenas prácticas de ITIL 4 para la Federación Colombiana de Municipios en cumplimiento de la función pública asignada;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
442;CENTRO DE EXPERIENCIA;IP-002-24;Publicado;Contratación régimen especial;DEPARTAMENTO JURÍDICO;1745090842;Presentación de oferta;FONDO NACIONAL DE GARANTIAS S.A. - FNG;9/02/2024 5:18:26 PM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5630314;-;Prestación de servicios;Regla aplicable;30/09/2025 12:00:00 PM ((UTC-05:00) Bogotá, Lima, Quito);PRESTAR EL SERVICIO DE CENTRO DE EXPERIENCIA, CON EL FIN DE SATISFACER LAS NECESIDADES DE INFORMACIÓN, PROCEDIMIENTOS, COMUNICACIÓN, SOPORTE Y SOLUCIÓN DE LOS TEMAS DEL FONDO NACIONAL DE GARANTÍAS PRESENTADOS POR LOS GRUPOS DE VALOR (INTERMEDIARIOS FINANCIEROS, BENEFICIARIOS DE GARANTÍAS, CIUDADANOS, ENTIDADES PÚBLICAS Y FONDOS REGIONALES) A TRAVÉS DE LOS CANALES DE ATENCIÓN DISPUESTOS EN EL PROCESO MISIONAL DE LA ENTIDAD;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
443;SISTERMAS ARIES;CPS003-2024;Publicado;Contratación régimen especial;GERENCIA EMPRESAS PUBLICAS DE AMAGÁ;29739938;Presentación de oferta;EMPRESAS PÚBLICAS DE AMAGÁ SA ESP;9/02/2024 7:57:08 AM ((UTC-05:00) Bogotá, Lima, Quito);;CO1.NTC.5624044;-;Prestación de servicios;Regla aplicable;31/12/2024 11:59:00 PM ((UTC-05:00) Bogotá, Lima, Quito);SOPORTE, ACTUALIZACION Y ASESORIA  EN LA PLATAFORMA ARIESNET PARA LAS EMPRESAS PUBLICAS DE AMAGÁ S.A E.S.P;0;43231501 - Software de mesa de ayuda o centro de llamadas (call center);
